HexX;HexY
584.00;410.00
677.00;413.00
798.00;405.00
915.00;400.00
1020.00;415.00
1128.00;409.00
1227.00;402.00
622.00;466.00
731.00;468.00
855.00;476.00
954.00;484.00
1077.00;480.00
1189.00;477.00
1306.00;474.00
535.00;515.00
670.00;515.00
783.00;515.00
902.00;515.00
1018.00;515.00
1142.00;515.00
1248.00;515.00
599.00;618.00
720.00;627.00
847.00;626.00
974.00;625.00
1100.00;627.00
1207.00;627.00
1327.00;630.00
446.00;717.00
567.00;720.00
671.00;720.00
789.00;720.00
900.00;720.00
1011.00;720.00
1120.00;720.00
1233.00;720.00
1328.00;720.00
